BLOCK	TRANSECT	PLOT	MODULE	SUBMODULE	CORNER	SAMPLING_ID	SPECIES	SPECIES_CORRECTED	SPCODE	FREQUENCY	DATE	DATE_CORRECTED	>1M	CONERCONER	DATE OF FIRE	TIME SINCE FIRE (DAYS)	SPECIES_NEW_NAMES	NEW_SPCODE
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	DIODIA VIRGINIANA       	DIODIA VIRGINIANA	DIOVIR	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	HYPERICUM HYPERICOIDES     	HYPERICUM HYPERICOIDES	HYPHYP	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	HYPTIS ALATA          	HYPTIS ALATA	HYPALA	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	JUSTICIA OVATA         	JUSTICIA OVATA	JUSOVA	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	LUDWIGIA MICROCARPA      	LUDWIGIA MICROCARPA	LUDMIC	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	MELANTHERA PARVIFOLIA     	MELANTHERA PARVIFOLIA	MELPAR	1	2/2/1998	2/2/1998					MELANTHERA NIVEA	MELNIV
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	ASTER DUMOSUS         	ASTER DUMOSUS	ASTDUM	1	2/2/1998	2/2/1998					SYMPHYOTRICHUM DUMOSUM	SYMDUM
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	MUHLENBERGIA FILIPES      	MUHLENBERGIA FILIPES	MUHFIL	1	2/2/1998	2/2/1998					MUHLENBERGIA CAPILLARIS VAR. FILIPES	MUHCAPFIL
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	OXYPOLIS FILIFORMIS      	OXYPOLIS FILIFORMIS	OXYFIL	1	2/2/1998	2/2/1998					TIEDEMANNIA FILIFORMIS SUBSP. FILIFORMIS	TIEFILFIL
